TIG_PostNL::Enabled,Activé
TIG_PostNL::Enable package dispenser locations,Activer la localisation des distributeurs automatiques de colis.
TIG_PostNL::Activate to allow your customers to pick up a parcel at a package dispenser location. The extension will automatically check if this option is available in the area submitted by your customer. Parcels delivered to a package dispenser machine must comply with a certain size.,Activer cela pour que vos clients puissent retirer leurs colis dans un distributeur automatique de colis. L'extension applique automatiquement cette option dans la région du client. Les colis livrés dans un distributeur automatique de colis doivent répondre à certaines conditions de dimension.
TIG_PostNL::Allow Google Streetview,Autoriser Google Streetview
TIG_PostNL::If enabled, users may use Google Streetview when choosing a post office location.,En cas d'activation, les clients peuvent utiliser Google Streetview quand ils cherchent un bureau de poste.
TIG_PostNL::No cut-off time,Aucune heure limite
TIG_PostNL::day,jour
TIG_PostNL::days,jours
TIG_PostNL::The address you searched for was not found. Please try again.,L'adresse choisie n'a pas été trouvée. Veuillez réessayer.
TIG_PostNL::We could not find any locations matching your filters. Please unselect any filters or try again at a different location.,Aucun lieu répondant à vos critères n'a été trouvé. Veuillez adapter vos critères ou chercher un autre lieu.
TIG_PostNL::Invalid GetDeliveryDate response: %s,Réponse GetDeliveryDate invalide : %s
TIG_PostNL::No data available for request.,Aucune donnée disponible pour votre demande.
TIG_PostNL::Invalid postcode supplied for getNearestLocations request: %s,Code postal invalide pour la demande getNearestLocations : %s
TIG_PostNL::Invalid coordinates supplied for getNearestLocations request. lat: %s, long: %s,Coordonnées invalides pour la demande getNearestLocations : lat: %s, long: %s
TIG_PostNL::Invalid arguments supplied. getNearestLocations requires a postcode or a longitude and latitude.,Arguments invalides. getNearestLocations attend un code postal ou une latitude et longitude.
TIG_PostNL::Invalid delivery date supplied: %s,Date de livraison invalide : %s
TIG_PostNL::Invalid response for GetDeliveryTimeframes request: %s,Réponse invalide pour la demande GetDeliveryTimeframes : %s
TIG_PostNL::Invalid response for GetNearestLocations request: %s,Réponse invalide pour la demande GetNearestLocations : %s
TIG_PostNL::Invalid arguments supplied. GetDeliveryTimeframes requires a postcode and a housenumber.,Arguments invalides. GetDeliveryTimeframes attend un code postal ou un numéro de maison.
TIG_PostNL::Invalid postcode supplied for GetDeliveryTimeframes request: %s Postcodes may only contain 4 numbers and 2 letters.,Code postal invalide pour la demande GetDeliveryTimeframes : %s Les codes postaux ne peuvent contenir que 4 chiffres et 2 lettres.
TIG_PostNL::Invalid housenumber supplied for GetDeliveryTimeframes request: %s Housenumbers may only contain digits.,Numéro de maison invalide pour la demande GetDeliveryTimeframes : %s Les numéros de maison ne peuvent contenir que des chiffres.
TIG_PostNL::Invalid shipping duration: %s. Shipping duration must be between 0 and 14 days.,Délai d'arrivée invalide : %s Le délai d'arrivée doit se situer entre 0 et 14 jours.
TIG_PostNL::Invalid arguments supplied. getNearestLocationsInArea requires two sets of coordinates.,Arguments invalides. getNearestLocations attend 2 ensembles de coordonnées.
TIG_PostNL::Invalid NE coordinates supplied for getLocationsInArea request. lat: %s, long: %s,Coordonnées NE invalides pour la demande getNearestLocations : lat: %s, long: %s
TIG_PostNL::Invalid SW coordinates supplied for getLocationsInArea request. lat: %s, long: %s,Coordonnées SW invalides pour la demande getNearestLocations : lat: %s, long: %s
TIG_PostNL::Invalid postcode supplied for GetDeliveryDate request: %s Postcodes may only contain 4 numbers and 2 letters.,Code postal invalide pour la demande GetDeliveryDate : %s Les codes postaux ne peuvent contenir que 4 chiffres et 2 lettres.
TIG_PostNL::PostNL delivery options are only available for Dutch shipping addresses.,Les options de livraison PostNL sont uniquement disponibles pour les adresses d'envoi néerlandaises.
TIG_PostNL::You have not yet enabled PostNL delivery options.,Vous n'avez pas encore activé les options de livraison PostNL.
TIG_PostNL::The SOAP extension is not installed. PostNL requires the SOAP extension to communicate with PostNL.,L'extension SOAP n'est pas installée. L'extension PostNL a besoin de l'extension SOAP pour communiquer avec les serveurs PostNL.
TIG_PostNL::The OpenSSL extension is not installed. The PostNL extension requires the OpenSSL extension to secure the communications with the PostNL servers.,L'extension OpenSSL n'est pas installée. L'extension PostNL a besoin de l'extension OpenSSL pour sécuriser la communication avec les serveurs PostNL.
TIG_PostNL::The specified method "%s" is not callable.,La méthode « %s » indiquée n'est pas disponible.
TIG_PostNL::The MCrypt extension is not installed. The PostNL extension requires the MCrypt extension to secure the communications with the PostNL servers.,L'extension MCrypt n'est pas installée. L'extension PostNL a besoin de l'extension MCrypt pour sécuriser la communication avec les serveurs PostNL.
TIG_PostNL::Confirmation Expired,Annonce expirée
TIG_PostNL::Invalid arguments supplied. In order to save a selected option, a type, delivery date and optional extra costs are required.,Paramètres invalides. Pour enregistrer l'option de livraison sélectionnée, un modèle, une date de livraison et des frais supplémentaires optionnels sont obligatoires.
TIG_PostNL::Invalid type supplied: %s,Modèle invalide : %s
TIG_PostNL::Invalid extra costs supplied: %s Extra costs must be supplied as a float.,Frais supplémentaires invalides : %s Les frais supplémentaires doivent être repris comme une valeur de fond.
TIG_PostNL::Invalid argument supplied. A valid PakjeGemak address must contain at least a city, country code, street, house number and zipcode.,Argument invalide. Une adresse PakjeGemak valide doit contenir au moins un nom de lieu, un code de pays, un nom de rue, un numéro de maison et un code postal.
TIG_PostNL::Invalid arguments supplied. The 'costs' parameter is required.,Paramètres invalides. Le paramètre « coûts » est obligatoire.
TIG_PostNL::Please enter a valid Dutch mobile phone number using only digits.,Veuillez indiquer un numéro de GSM néerlandais valide avec uniquement des chiffres.
TIG_PostNL::Phone number for Package Dispenser service,Numéro de GSM pour le distributeur automatique de colis.
TIG_PostNL::We will send you a text message when the package can be collected from the package dispenser.,Nous envoyons un sms quand le colis peut être retiré dans le distributeur automatique de colis.
TIG_PostNL::We need your mobile phone number in order to do this.,Veuillez donc fournir votre numéro de GSM.
TIG_PostNL::Please make sure your phone number is correct.,Vérifiez bien que ce numéro est correct.
TIG_PostNL::Continue,Suivant
TIG_PostNL::Please enter a mobile phone number.,Veuillez indiquer un numéro de GSM.
TIG_PostNL::Phone number,Numéro de téléphone
TIG_PostNL::Invalid country code supplied: %s.,Code pays invalide : %s
TIG_PostNL::Invalid street supplied: %s.,Nom de la rue invalide : %s
TIG_PostNL::Invalid housenumber supplied: %s.,Numéro de maison invalide : %s
TIG_PostNL::Invalid postcode supplied: %s.,Code postal invalide : %s
TIG_PostNL::Invalid housenumber extension supplied: %s.,Complément du numéro de maison invalide : %s
TIG_PostNL::Invalid arguments supplied. The 'number' parameter is required.,Paramètres invalides. Le paramètre « numéro » est obligatoire.
TIG_PostNL::Invalid mobile phone number supplied: %s.,Numéro de GSM invalide : %s
TIG_PostNL::The quote's total weight is below the miniumum required to use PostNL delivery options.,Le poids total de la commande est inférieur au minimum pour pouvoir utiliser les options de livraison PostNL.
TIG_PostNL::Invalid arguments supplied. The 'costs' parameter requires an amount incl. and excl. VAT.,Paramètres invalides. Le paramètre « coûts » doit contenir un montant TVAC et HTVA.
TIG_PostNL::Invalid fee amount entered: %s incl. VAT. Please enter a value between %.2f and %.2f %s incl. VAT.,Montant invalide : %s TVAC. Veuillez introduire une valeur entre %.2f et %.2f %s TVAC.
TIG_PostNL::The PostNL Extension is currently configured in test mode.,L'extension PostNL est actuellement configurée en mode test.
TIG_PostNL::You can enter your live username and password in the 'Account Settings' tab. Don't forget to also update your customer number, customer code and BLS (location) code. You can then set the extension to live mode.,Vous pouvez indiquer votre nom d'utilisateur et mot de passe live sous l'onglet « Paramètres du compte ». N'oubliez pas non plus votre numéro de client, votre code client et le code BLS (lieux). Vous pouvez ensuite régler l'application en mode live.
TIG_PostNL::You may test the extension, however you cannot send any shipments in this mode. Any shipments that you confirm or whose labels you print while in this mode will be registered as test shipments and may not be physically shipped. If you attempt to do so, you may incur fines from PostNL. To use the extension in live mode you first need to enter your PostNL account credentials and set the extension to live mode. You can then send shipments using the PostNL extension.,Vous pouvez tester l'extension, mais vous ne pouvez pas réaliser d'envois en mode test. Si vous annoncez un envoi ou imprimez des étiquettes pour un envoi alors que l'extension est en mode test, ces envois seront marqués comme des envois tests. Ces envois tests ne peuvent pas être expédiés. Si vous les envoyez réellement, vous recevrez une amende de la part de PostNL. Pour utiliser l'extension en mode live, vous devez d'abord introduire les données du compte PostNL et régler la configuration du mode live. Ensuite, vous pouvez effectuer des envois avec l'extension PostNL.
